Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,Tuscumbia City School District,"9,182","1,341",387
AL,Vestavia Hills City School District,"38,621","7,784",210
AL,Walker County School District,"49,985","8,183","1,577"
AL,Washington County School District,"15,122","2,360",603
AL,Wilcox County School District,"10,059","1,592",711
AL,Winfield City School District,"6,625","1,025",232
AL,Winston County School District,"15,835","2,298",529
AK,Alaska Gateway School District,"2,304",443,82
AK,Aleutian Region School District,487,20,3
AK,Aleutians East Borough School District,"3,398",136,18
AK,Anchorage School District,"287,145","49,310","4,961"
AK,Annette Island School District,"1,534",285,58
AK,Bering Strait School District,"6,214","1,667",435
AK,Bristol Bay Borough School District,865,136,18
AK,Chatham School District,"1,292",135,45
AK,Chugach School District,492,77,12
AK,Copper River School District,"2,462",472,84
AK,Cordova City School District,"2,525",408,29
AK,Craig City School District,"1,018",169,19
AK,Delta/Greely School District,"4,843",882,103
AK,Denali Borough School District,"1,585",217,21
AK,Dillingham City School District,"2,187",428,89
AK,Fairbanks North Star Borough School District,"95,356","15,843","1,234"
AK,Galena City School District,458,113,21
AK,Haines Borough School District,"2,056",253,42
AK,Hoonah City School District,900,124,28
AK,Hydaburg City School District,373,65,21
AK,Iditarod Area School District,"1,064",223,77
AK,Juneau Borough School District,"31,685","4,950",374
AK,Kake City School District,533,111,24
AK,Kashunamiut School District,941,260,87
AK,Kenai Peninsula Borough School District,"60,690","10,029","1,176"
AK,Ketchikan Gateway Borough School District,"13,741","2,142",218
AK,Klawock City School District,707,122,19
AK,Kodiak Island Borough School District,"12,720","2,199",180
AK,Kuspuk School District,"1,399",319,103
AK,Lake and Peninsula Borough School District,"1,381",278,77
AK,Lower Kuskokwim School District,"15,280","3,753",896
AK,Lower Yukon School District,"6,745","1,967",646
AK,Matanuska-Susitna Borough School District,"113,325","21,878","2,075"
AK,Nenana City School District,347,72,16
AK,Nome School District,"3,621",771,125
AK,North Slope Borough School District,"10,805","2,090",268
AK,Northwest Arctic Borough School District,"7,423","2,039",462
AK,Pelican City School District,95,11,3
AK,Petersburg Borough School District,"3,360",530,42
AK,Pribilof School District,470,65,7
AK,Sitka School District,"8,382","1,217",106
AK,Skagway School District,"1,081",129,11
AK,Southeast Island School District,"1,485",188,36
AK,Southwest Region School District,"2,536",632,189
AK,St. Marys City School District,592,159,41
AK,Tanana City School District,238,39,15
AK,Unalaska City School District,"4,165",266,16
AK,Valdez City School District,"3,857",677,43
AK,Wrangell School District,"2,070",286,48
AK,Yakutat School District,700,104,14
AK,Yukon Flats School District,"1,123",214,30
AK,Yukon-Koyukuk School District,"1,975",384,99
AK,Yupiit School District,"1,553",431,155
AZ,Agua Fria Union High School District,"166,867","9,238",783
AZ,Aguila Elementary District,824,150,15
AZ,Ajo Unified District,"3,080",331,74
AZ,Alhambra Elementary District,"98,883","14,253","3,906"
AZ,Alpine Elementary District,678,71,20
AZ,Altar Valley Elementary District,"6,743","1,032",213
AZ,Amphitheater Unified District,"149,046","18,629","2,614"
AZ,Antelope Union High School District,"4,538",204,35
AZ,Apache Elementary District,132,10,7
AZ,Apache Junction Unified District,"66,028","6,700",995
AZ,Arlington Elementary District,"1,354",180,23
AZ,Ash Creek Elementary District,589,37,15
AZ,Ash Fork Joint Unified District,"2,046",244,88
AZ,Avondale Elementary District,"57,356","8,363","1,237"
AZ,Bagdad Unified School District,"2,284",498,44
AZ,Balsz Elementary District,"33,902","3,718","1,010"
AZ,Beaver Creek Elementary District,"5,437",764,179
AZ,Benson Unified School District,"8,112","1,169",234
AZ,Bicentennial Union High School District,"7,144",155,47
AZ,Bisbee Unified District,"6,466",644,202
AZ,Blue Elementary District,53,1,0
AZ,Blue Ridge Unified District,"13,697","2,020",456
AZ,Bonita Elementary District,891,47,8
AZ,Bouse Elementary District,845,39,21
AZ,Bowie Unified District,645,110,32
AZ,Buckeye Elementary District,"54,826","7,860","1,011"
AZ,Buckeye Union High School District,"101,171","5,786",511
