Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
CA,Millbrae Elementary School District,"24,952","2,331",153
CA,Millville Elementary School District,"1,599",164,21
CA,Milpitas Unified School District,"75,699","11,419",607
CA,Mission Union Elementary School District,282,33,7
CA,Modesto City Elementary School District,"120,995","16,390","4,333"
CA,Modesto City High School District,"283,233","17,680","3,230"
CA,Modoc Joint Unified School District,"5,964",907,230
CA,Mojave Unified School District,"20,340","3,841","1,393"
CA,Monroe Elementary School District,"1,093",150,52
CA,Monrovia Unified School District,"43,040","6,204",708
CA,Monson-Sultana Joint Union Elementary School District,"2,288",354,122
CA,Montague Elementary School District,"1,724",198,34
CA,Monte Rio Union Elementary School District,"1,695",74,12
CA,Montebello Unified School District,"155,440","26,613","5,434"
CA,Montecito Union Elementary School District,"5,672",417,35
CA,Monterey Peninsula Unified School District,"92,596","13,499","1,418"
CA,Montgomery Elementary School District,998,60,10
CA,Moorpark Unified School District,"37,241","6,595",463
CA,Moraga Elementary School District,"16,940","1,884",47
CA,Moreland School District,"48,481","5,463",344
CA,Moreno Valley Unified School District,"185,567","37,526","5,575"
CA,Morgan Hill Unified School District,"65,408","11,508",701
CA,Morongo Unified School District,"71,462","9,520","1,882"
CA,Mother Lode Union Elementary School District,"16,133","1,335",102
CA,Mount Baldy Joint Elementary School District,339,31,3
CA,Mount Diablo Unified School District,"264,430","38,958","3,727"
CA,Mount Pleasant Elementary School District,"21,276","2,258",259
CA,Mount Shasta Union Elementary School District,"7,126",601,63
CA,Mountain Elementary School District,"1,381",83,10
CA,Mountain Empire Unified School District,"11,855","2,022",313
CA,Mountain House Elementary School District,308,33,7
CA,Mountain Union Elementary School District,"1,145",77,24
CA,Mountain Valley Unified School District,"6,035",749,248
CA,Mountain View Elementary School District,"52,637","6,632","1,805"
CA,Mountain View Elementary School District,"30,140","3,543",321
CA,Mountain View Whisman Elementary School District,"70,241","6,045",328
CA,Mountain View-Los Altos Union School District,"113,595","4,816",168
CA,Mulberry Elementary School District,116,14,2
CA,Mupu Elementary School District,822,98,9
CA,Muroc Joint Unified School District,"5,555","1,174",190
CA,Murrieta Valley Unified School District,"115,577","22,784","1,629"
CA,Napa Valley Unified School District,"114,928","17,231","1,340"
CA,National Elementary School District,"55,950","4,916","1,005"
CA,Natomas Unified School District,"86,549","13,885","1,543"
CA,Needles Unified School District,"7,117","1,076",294
CA,Nevada City Elementary School District,"15,984","1,077",107
CA,Nevada Joint Union High School District,"85,454","3,786",431
CA,New Haven Unified School District,"73,451","10,076",794
CA,New Hope Elementary School District,"1,498",199,14
CA,New Jerusalem Elementary School District,"2,282",243,36
CA,Newark Unified School District,"46,025","6,626",427
CA,Newcastle Elementary School District,"2,769",268,13
CA,Newhall Elementary School District,"71,928","6,497",682
CA,Newman-Crows Landing Unified School District,"16,060","3,597",537
CA,Newport-Mesa Unified School District,"193,601","25,516","2,475"
CA,Nicasio Elementary School District,603,51,5
CA,Norris Elementary School District,"30,196","4,822",336
CA,North County Joint Union Elementary School District,"3,962",417,45
CA,North Cow Creek Elementary School District,"1,521",136,9
CA,North Monterey County Unified School District,"28,496","5,492",829
CA,Northern Humboldt Union High School District,"46,204","1,816",288
CA,Norwalk-La Mirada Unified School District,"118,617","18,578","2,345"
CA,Novato Unified School District,"58,814","8,671",807
CA,Nuestro Elementary School District,448,58,14
CA,Nuview Union Elementary School District,"10,350","1,290",168
CA,Oak Grove Elementary School District,"109,677","12,252",946
CA,Oak Grove Union Elementary School District,"4,801",369,23
CA,Oak Park Unified School District,"13,714","2,644",89
CA,Oak Run Elementary School District,677,78,21
CA,Oak Valley Union Elementary School District,"1,310",186,62
CA,Oak View Union Elementary School District,"2,890",373,53
CA,Oakdale Joint Unified School District,"34,200","6,214",724
CA,Oakland Unified School District,"425,586","55,060","9,476"
CA,Oakley Union Elementary School District,"40,286","5,249",398
CA,Ocean View Elementary School District,"96,604","9,029","1,006"
CA,Ocean View Elementary School District,"17,096","2,275",398
CA,Oceanside Unified School District,"135,332","19,085","2,215"
CA,Ojai Unified School District,"21,763","3,030",339
CA,Old Adobe Union Elementary School District,"25,946","2,047",133
CA,Ontario-Montclair School District,"168,112","21,266","3,979"
CA,Orange Center Elementary School District,"1,725",252,123
CA,Orange Unified School District,"221,668","33,360","3,396"
CA,Orchard Elementary School District,"20,894","1,365",94
CA,Orcutt Union Elementary School District,"38,332","4,423",412
CA,Orick Elementary School District,369,26,10
CA,Orinda Union Elementary School District,"19,369","2,612",47
CA,Orland Joint Unified School District,"14,697","2,883",421
CA,Oro Grande Elementary School District,861,93,23
CA,Oroville City Elementary School District,"28,681","2,990",710
CA,Oroville Union High School District,"54,493","3,041",661
CA,Outside Creek Elementary School District,665,95,25
CA,Owens Valley Unified School District,592,69,8
CA,Oxnard Elementary School District,"123,003","14,950","2,905"
CA,Oxnard Union High School District,"322,079","17,714","2,589"
CA,Pacheco Union Elementary School District,"9,236",956,89
CA,Pacific Elementary School District,946,77,26
CA,Pacific Grove Unified School District,"17,192","2,317",125
CA,Pacific Union Elementary School District,"2,798",423,153
CA,Pacific Union Elementary School District,"5,531",466,93
CA,Pacifica School District,"36,233","3,420",141
CA,Pajaro Valley Joint Unified School District,"108,600","19,251","2,920"
CA,Palermo Union Elementary School District,"8,084",891,217
CA,Palm Springs Unified School District,"179,097","24,381","4,181"
CA,Palmdale Elementary School District,"139,299","19,795","4,552"
CA,Palo Alto Unified School District,"89,084","12,262",348
CA,Palo Verde Unified School District,"21,582","2,998",521
CA,Palo Verde Union Elementary School District,"2,361",411,94
CA,Palos Verdes Peninsula Unified School District,"59,436","10,085",445
CA,Panama-Buena Vista School District,"145,146","20,404","3,428"
CA,Panoche Elementary School District,184,24,3
CA,Paradise Elementary School District,854,87,11
CA,Paradise Unified School District,"13,846","1,730",298
CA,Paramount Unified School District,"75,702","14,461","2,875"
CA,Parlier Unified School District,"15,387","3,696","1,029"
CA,Pasadena Unified School District,"198,086","24,455","3,017"
CA,Paso Robles Joint Unified School District,"49,409","7,064",925
CA,Patterson Joint Unified School District,"28,780","6,416",885
CA,Peninsula Union Elementary School District,469,38,21
CA,Penn Valley Union Elementary School District,"13,100",963,126
CA,Perris Elementary School District,"51,638","6,082","1,143"
CA,Perris Union High School District,"209,066","14,587","1,652"
CA,Petaluma City Elementary School District,"31,252","2,349",182
CA,Petaluma Joint Union High School District,"73,922","5,091",318
CA,Piedmont City Unified School District,"11,023","2,388",30
CA,Pierce Joint Unified School District,"7,019","1,387",160
CA,Pine Ridge Elementary School District,956,95,16
CA,Piner-Olivet Union Elementary School District,"15,588","1,190",73
CA,Pioneer Union Elementary School District,"5,374",433,40
CA,Pioneer Union Elementary School District,"12,286","1,745",157
CA,Pioneer Union Elementary School District,"1,714",104,49
CA,Pittsburg Unified School District,"63,001","10,878","1,969"
CA,Pixley Union Elementary School District,"5,274",981,389
CA,Placentia-Yorba Linda Unified School District,"163,535","27,464","2,059"
CA,Placer Hills Union Elementary School District,"14,666","1,212",70
CA,Placer Union High School District,"94,442","5,121",299
CA,Placerville Union Elementary School District,"15,271","1,352",145
CA,Plainsburg Union Elementary School District,494,66,15
CA,Planada Elementary School District,"5,096",787,175
CA,Plaza Elementary School District,334,56,19
CA,Pleasant Grove Joint Union Elementary School District,870,98,8
CA,Pleasant Ridge Union Elementary School District,"20,850","1,730",178
CA,Pleasant Valley Elementary School District,"79,683","8,009",582
CA,Pleasant Valley Joint Union Elementary School District,963,104,29
CA,Pleasant View Elementary School District,"2,420",415,104
CA,Pleasanton Unified School District,"77,837","14,582",440
CA,Plumas Lake Elementary School District,"8,693","1,488",81
CA,Plumas Unified School District,"18,671","2,393",394
CA,Point Arena Joint Union High School District,"5,869",204,37
CA,Pollock Pines Elementary School District,"9,462",843,74
CA,Pomona Unified School District,"164,353","27,650","5,410"
CA,Pond Union Elementary School District,484,93,25
CA,Pope Valley Union Elementary School District,749,115,13
CA,Porterville Unified School District,"102,677","16,079","4,012"
CA,Portola Valley Elementary School District,"6,348",683,11
CA,Potter Valley Community Unified School District,"2,172",346,62
CA,Poway Unified School District,"203,114","37,189","1,697"
CA,Princeton Joint Unified School District,"1,044",198,43
CA,Raisin City Elementary School District,"1,806",317,129
CA,Ramona City Unified School District,"36,618","6,359",530
CA,Rancho Santa Fe Elementary School District,"6,152",474,17
CA,Ravendale-Termo Elementary School District,152,20,11
CA,Ravenswood City Elementary School District,"34,627","4,137",740
CA,Raymond-Knowles Union Elementary School District,"1,163",135,24
CA,Red Bluff Joint Union High School District,"43,844","2,544",352
CA,Red Bluff Union Elementary School District,"20,863","2,453",432
CA,Redding Elementary School District,"35,853","3,622",577
CA,Redlands Unified School District,"132,828","22,305","2,511"
CA,Redondo Beach Unified School District,"69,529","9,762",470
CA,Redwood City Elementary School District,"96,031","9,464",986
CA,Reed Union Elementary School District,"13,933","1,743",82
CA,Reeds Creek Elementary School District,"1,160",97,12
CA,Reef-Sunset Unified School District,"15,181","2,628",753
CA,Rescue Union Elementary School District,"36,244","4,419",165
CA,Rialto Unified School District,"129,122","26,823","4,758"
CA,Richfield Elementary School District,"1,227",153,26
CA,Richgrove Elementary School District,"2,679",490,97
CA,Richland Union School District,"20,449","3,521",726
CA,Richmond Elementary School District,"1,088",129,6
CA,Rim of the World Unified School District,"30,406","4,511",398
CA,Rincon Valley Union Elementary School District,"39,796","2,763",192
CA,Rio Bravo-Greeley Union Elementary School District,"5,776",910,97
CA,Rio Dell Elementary School District,"3,447",384,94
CA,Rio Elementary School District,"42,070","5,046",835
CA,Ripon Unified School District,"20,972","4,453",298
CA,River Delta Joint Unified School District,"17,621","2,049",194
CA,Riverbank Unified School District,"16,127","3,339",606
CA,Riverdale Joint Unified School District,"7,721","1,577",304
CA,Riverside Unified School District,"262,690","43,989","4,934"
CA,Roberts Ferry Union Elementary School District,721,78,16
CA,Robla Elementary School District,"20,866","2,139",387
CA,Rockford Elementary School District,"1,209",178,48
CA,Rocklin Unified School District,"71,799","14,031",519
CA,Romoland Elementary School District,"36,408","4,882",576
CA,Rosedale Union Elementary School District,"51,859","7,498",679
CA,Roseland School District,"12,039","1,193",210
CA,Rosemead Elementary School District,"25,835","2,323",423
CA,Roseville City Elementary School District,"114,367","13,749",711
CA,Roseville Joint Union High School District,"198,864","11,102",570
CA,Ross Elementary School District,"2,689",433,10
CA,Ross Valley Elementary School District,"23,609","2,596",117
CA,Round Valley Joint Elementary School District,"1,100",92,10
CA,Round Valley Unified School District,"3,090",560,201
CA,Rowland Unified School District,"103,696","15,433","2,537"
CA,Sacramento City Unified School District,"353,949","51,817","9,037"
CA,Saddleback Valley Unified School District,"218,354","32,329","1,988"
CA,Salida Union Elementary School District,"20,240","2,843",342
CA,Salinas City Elementary School District,"83,604","8,921","1,630"
CA,Salinas Union High School District,"182,435","17,639","2,993"
CA,San Antonio Union Elementary School District,"1,493",175,42
CA,San Ardo Union Elementary School District,542,93,18
CA,San Benito High School District,"60,562","3,846",301
CA,San Bernardino City Unified School District,"274,970","57,219","13,428"
CA,San Bruno Park Elementary School District,"37,442","3,325",237
CA,San Carlos Elementary School District,"27,617","3,387",74
CA,San Diego City Unified School District,"1,059,341","129,393","17,045"
CA,San Dieguito Union High School District,"182,089","15,195",619
CA,San Francisco Unified School District,"808,437","77,385","6,773"
CA,San Gabriel Unified School District,"40,760","5,378",689
CA,San Jacinto Unified School District,"57,644","12,439","2,056"
CA,San Jose Unified School District,"259,076","36,554","2,820"
CA,San Juan Unified School District,"350,738","52,839","8,043"
CA,San Leandro Unified School District,"72,372","9,781","1,087"
CA,San Lorenzo Unified School District,"80,432","12,339","1,550"
CA,San Lorenzo Valley Unified School District,"24,783","3,170",222
CA,San Lucas Union Elementary School District,448,78,24
CA,San Luis Coastal Unified School District,"93,530","8,618",653
CA,San Marcos Unified School District,"126,240","21,473","1,676"
CA,San Marino Unified School District,"14,121","2,628",150
CA,San Mateo Union High School District,"238,402","10,525",627
CA,San Mateo-Foster City Elementary School District,"134,010","13,012",945
CA,San Miguel Joint Union Elementary School District,"6,441",824,164
CA,San Pasqual Union Elementary School District,"3,357",477,30
CA,San Pasqual Valley Unified School District,"2,954",631,303
CA,San Rafael City Elementary School District,"55,263","4,885",781
CA,San Rafael City High School District,"77,191","3,036",350
CA,San Ramon Valley Unified School District,"162,267","31,649",743
CA,San Ysidro Elementary School District,"42,685","3,591",809
CA,Sanger Unified School District,"58,809","12,901","2,051"
CA,Santa Ana Unified School District,"240,080","42,227","7,238"
CA,Santa Barbara Unified School District,"188,326","15,977","1,712"
CA,Santa Clara Elementary School District,214,35,6
CA,Santa Clara Unified School District,"164,988","19,461","1,024"
CA,Santa Cruz City Elementary School District,"63,794","2,675",248
CA,Santa Cruz City High School District,"118,774","5,535",482
CA,Santa Maria Joint Union High School District,"154,705","10,274","1,817"
CA,Santa Maria-Bonita Elementary School District,"107,498","15,922","3,631"
CA,Santa Monica-Malibu Unified School District,"106,608","10,859",938
CA,Santa Paula Unified School District,"32,588","5,589",891
CA,Santa Rita Union Elementary School District,"25,077","2,906",477
CA,Santa Rosa Elementary School District,"70,592","5,549",653
CA,Santa Rosa High School District,"209,333","14,309","1,368"
CA,Santa Ynez Valley Union High School District,"22,464","1,324",82
CA,Santee School District,"63,543","6,830",561
CA,Saratoga Union Elementary School District,"20,005","2,197",52
CA,Saucelito Elementary School District,182,27,11
CA,Saugus Union Elementary School District,"112,838","10,925",599
CA,Sausalito Elementary School District,"11,047",574,81
CA,Savanna Elementary School District,"29,303","2,350",314
CA,Scotia Union Elementary School District,"1,082",147,44
CA,Scott Valley Unified School District,"5,208",842,142
CA,Scotts Valley Unified School District,"18,115","2,959",106
CA,Sebastopol Union Elementary School District,"11,770","1,016",73
CA,Seeley Union Elementary School District,"2,563",364,93
CA,Seiad Elementary School District,278,20,5
CA,Selma Unified School District,"30,055","6,522","1,580"
CA,Semitropic Elementary School District,195,43,14
CA,Sequoia Union Elementary School District,"2,197",303,89
CA,Sequoia Union High School District,"248,484","11,151",755
CA,Shaffer Union Elementary School District,"8,801",282,46
CA,Shandon Joint Unified School District,"1,765",341,85
CA,Shasta Union Elementary School District,"1,361",136,14
CA,Shasta Union High School District,"102,878","5,449",752
CA,Shiloh Elementary School District,756,94,17
CA,Shoreline Unified School District,"5,961",641,62
CA,Sierra Sands Unified School District,"35,492","6,517","1,061"
CA,Sierra Unified School District,"10,518","1,634",232
CA,Sierra-Plumas Joint Unified School District,"3,897",517,69
CA,Silver Fork Elementary School District,238,18,2
CA,Silver Valley Unified School District,"12,130","2,123",296
CA,Simi Valley Unified School District,"127,989","19,933","1,759"
CA,Siskiyou Union High School District,"15,715",776,114
CA,Snelling-Merced Falls Union Elementary School District,674,88,15
CA,Snowline Joint Unified School District,"41,910","8,310","1,197"
CA,Solana Beach Elementary School District,"41,111","3,517",146
CA,Soledad Unified School District,"25,308","4,790",761
CA,Solvang Elementary School District,"6,557",546,38
CA,Somis Union Elementary School District,"3,104",297,33
CA,Sonoma Valley Unified School District,"36,918","4,698",395
CA,Sonora Elementary School District,"9,256",788,136
CA,Sonora Union High School District,"39,386","1,790",204
CA,Soquel Elementary School District,"26,335","2,145",158
CA,Soulsbyville Elementary School District,"4,921",488,41
CA,South Bay Union Elementary School District,"7,015",512,92
CA,South Bay Union School District,"75,880","6,583","1,215"
CA,South Fork Union School District,"3,174",262,78
CA,South Monterey County Joint Union High School District,"38,504","2,812",522
CA,South Pasadena Unified School District,"26,128","4,819",238
CA,South San Francisco Unified School District,"77,186","10,011",761
CA,South Whittier Elementary School District,"27,182","3,324",628
CA,Southern Humboldt Joint Unified School District,"7,895",936,311
CA,Southern Kern Unified School District,"22,196","4,770",955
CA,Southern Trinity Joint Unified School District,932,99,28
CA,Southside Elementary School District,"1,882",168,9
CA,Spencer Valley Elementary School District,477,31,1
CA,Spreckels Union Elementary School District,"6,908",699,48
CA,Springville Union Elementary School District,"4,241",388,80
CA,St. Helena Unified School District,"9,052","1,233",81
CA,Standard Elementary School District,"25,278","3,389",947
CA,Stanislaus Union Elementary School District,"31,332","3,736",772
CA,Stockton Unified School District,"221,008","44,945","10,132"
CA,Stone Corral Elementary School District,637,92,62
CA,Stony Creek Joint Unified School District,841,162,49
CA,Strathmore Union Elementary School District,"5,520",866,293
CA,Sulphur Springs Union Elementary School District,"65,041","6,087",690
CA,Summerville Elementary School District,"4,354",478,64
CA,Summerville Union High School District,"9,776",494,55
CA,Sundale Union Elementary School District,"2,254",381,89
CA,Sunnyside Union Elementary School District,"2,167",369,108
CA,Sunnyvale Elementary School District,"93,192","7,825",402
CA,Sunol Glen Unified School District,928,109,5
CA,Surprise Valley Joint Unified School District,"1,086",120,34
CA,Susanville Elementary School District,"10,052","1,259",196
CA,Sutter Union High School District,"7,539",514,67
CA,Sweetwater Union High School District,"488,375","42,691","6,086"
CA,Sylvan Union Elementary School District,"77,901","9,810","1,349"
CA,Taft City School District,"18,542","2,498",740
CA,Taft Union High School District,"19,466","1,307",342
CA,Tahoe-Truckee Unified School District,"32,744","4,726",345
CA,Tamalpais Union High School District,"115,652","5,269",222
CA,Tehachapi Unified School District,"35,619","5,918",708
CA,Temecula Valley Unified School District,"165,938","34,349","1,899"
CA,Temple City Unified School District,"34,538","5,409",595
CA,Templeton Unified School District,"11,358","1,923",169
CA,Terra Bella Union Elementary School District,"5,601",876,188
CA,Thermalito Union School District,"12,608","1,504",365
CA,Three Rivers Union Elementary School District,"2,132",169,57
CA,Tipton Elementary School District,"3,212",552,162
CA,Torrance Unified School District,"142,646","21,765","1,725"
CA,Tracy Unified School District,"113,017","18,276","1,879"
CA,Traver Joint Elementary School District,"1,192",211,38
CA,Travis Unified School District,"31,935","5,568",290
CA,Tres Pinos Union Elementary School District,844,95,5
CA,Trinidad Union Elementary School District,"2,084",175,39
CA,Trinity Alps Unified School District,"8,511",871,119
CA,Trinity Center Elementary School District,385,21,5
CA,Trona Joint Unified School District,"1,697",287,92
CA,Tulare City Elementary School District,"70,211","11,182","2,455"
CA,Tulare Joint Union High School District,"87,967","6,266","1,328"
CA,Tulelake Basin Joint Unified School District,"2,004",415,78
CA,Turlock Unified School District,"84,389","14,505","2,482"
CA,Tustin Unified School District,"141,741","23,855","2,078"
CA,Twain Harte School District,"5,422",422,61
CA,Twin Hills Union Elementary School District,"5,569",387,27
CA,Twin Ridges Elementary School District,"2,425",181,56
CA,Twin Rivers Unified School District,"203,465","35,503","7,608"
CA,Two Rock Union Elementary School District,"1,503",148,6
CA,Ukiah Unified School District,"39,516","6,901","1,237"
CA,Union Elementary School District,"45,586","6,388",165
CA,Union Hill Elementary School District,"2,597",207,23
CA,Upland Unified School District,"78,150","12,751","1,430"
CA,Upper Lake Unified School District,"9,438","1,038",228
CA,Vacaville Unified School District,"87,785","14,040","1,176"
CA,Val Verde Unified School District,"91,079","19,660","2,781"
CA,Valle Lindo Elementary School District,"6,138",568,99
CA,Vallecito Union Elementary School District,"9,917",721,113
CA,Vallecitos Elementary School District,"2,328",198,27
CA,Vallejo City Unified School District,"128,301","18,983","2,869"
CA,Valley Center-Pauma Unified School District,"27,230","4,354",465
CA,Valley Home Joint Elementary School District,"1,873",212,20
CA,Ventura Unified School District,"120,506","17,971","2,075"
CA,Victor Elementary School District,"110,460","12,961","3,243"
CA,Victor Valley Union High School District,"184,413","19,314","4,389"
CA,Vineland Elementary School District,"3,577",602,246
CA,Visalia Unified School District,"161,982","34,111","6,307"
CA,Vista Unified School District,"152,371","23,884","3,033"
CA,Vista del Mar Union Elementary School District,549,44,5
CA,Walnut Creek Elementary School District,"53,094","3,936",152
CA,Walnut Valley Unified School District,"54,679","8,826",869
CA,Warner Unified School District,"2,177",204,29
CA,Wasco Union Elementary School District,"27,925","4,046",935
CA,Wasco Union High School District,"31,186","2,078",423
CA,Washington Colony Elementary School District,"2,731",349,89
CA,Washington Unified School District,"18,075","2,701","1,057"
CA,Washington Unified School District,"55,351","9,209","1,749"
CA,Washington Union Elementary School District,"6,965",491,28
CA,Waterford Unified School District,"10,289","2,295",337
CA,Waugh Elementary School District,"6,411",539,15
CA,Waukena Joint Union Elementary School District,869,159,35
CA,Weaver Union Elementary School District,"16,149","2,902",853
CA,Weed Union Elementary School District,"3,956",376,78
CA,West Contra Costa Unified School District,"257,514","38,019","5,205"
CA,West Covina Unified School District,"59,067","9,191","1,252"
CA,West Park Elementary School District,"1,607",209,88
CA,West Side Union Elementary School District,800,29,4
CA,West Sonoma County Union High School District,"46,789","2,039",177
CA,Western Placer Unified School District,"59,036","9,125",474
CA,Westminster School District,"84,176","8,671","1,336"
CA,Westmorland Union Elementary School District,"2,242",368,128
CA,Westside Elementary School District,824,155,29
CA,Westside Union Elementary School District,"72,265","8,389",891
CA,Westwood Unified School District,"1,599",230,64
CA,Wheatland Elementary School District,"8,378","1,056",111
CA,Wheatland Union High School District,"17,071",923,62
CA,Whitmore Union Elementary School District,721,49,7
CA,Whittier City Elementary School District,"64,857","6,883",933
CA,Whittier Union High School District,"214,827","12,400","1,443"
CA,William S. Hart Union High School District,"278,365","24,411","1,787"
CA,Williams Unified School District,"6,258","1,337",161
CA,Willits Unified School District,"13,558","2,286",455
CA,Willow Creek Elementary School District,735,68,18
CA,Willow Grove Union Elementary School District,322,35,1
CA,Willows Unified School District,"9,330","1,878",371
CA,Wilmar Union Elementary School District,"3,080",194,14
CA,Wilsona Elementary School District,"10,449","1,446",454
CA,Windsor Unified School District,"27,741","4,527",281
CA,Winship Robbins Elementary School District,587,79,9
CA,Winters Joint Unified School District,"9,518","1,728",224
CA,Winton School District,"12,246","2,009",468
CA,Wiseburn Unified School District,"14,548","2,286",156
CA,Woodlake Unified School District,"12,558","2,320",612
CA,Woodland Joint Unified School District,"68,286","11,565","1,486"
CA,Woodside Elementary School District,"3,050",377,8
CA,Woodville Elementary School District,"2,641",454,114
CA,Wright Elementary School District,"18,102","1,506",150
CA,Yosemite Unified School District,"23,327","2,311",424
CA,Yreka Union Elementary School District,"9,814","1,106",192
CA,Yreka Union High School District,"17,712",899,147
CA,Yuba City Unified School District,"77,392","14,366","2,591"
CA,Yucaipa-Calimesa Joint Unified School District,"63,370","11,400","1,255"
CO,Academy School District 20,"122,769","23,617","1,035"
CO,Adams 12 Five Star Schools,"244,875","43,973","5,005"
CO,Adams County School District 14,"41,443","8,676","2,266"
CO,Adams-Arapahoe School District 28J,"234,855","39,414","6,865"
CO,Agate School District 300,844,125,16
CO,Aguilar Reorganized School District 6,"1,124",137,44
CO,Akron School District R-1,"2,519",423,62
CO,Alamosa School District RE-11J,"15,526","2,835",560
CO,Archuleta County School District 50-JT,"13,387","1,716",269
CO,Arickaree School District R-2,525,66,6
CO,Arriba-Flagler School District C-20,"1,155",185,30
CO,Aspen School District 1,"12,824","1,371",46
CO,Ault-Highland School District RE-9,"7,707","1,450",150
CO,Bayfield School District 10 JT-R,"9,946","1,499",156
CO,Bennett School District 29-J,"7,247","1,368",127
CO,Bethune School District R-5,491,111,21
CO,Big Sandy School District 100J,"1,991",343,47
CO,Boulder Valley School District RE-2,"238,238","29,901","1,841"
CO,Branson Reorganized School District 82,626,38,7
CO,Briggsdale School District RE-10,901,171,21
CO,Brush School District RE-2J,"8,089","1,417",221
CO,Buena Vista School District R-31,"9,784","1,018",118
CO,Buffalo School District RE-4,930,161,23
CO,Burlington School District RE-6J,"4,023",783,122
CO,Byers School District 32J,"2,645",493,44
CO,Calhan School District RJ-1,"3,228",560,75
CO,Campo School District RE-6,234,47,20
CO,Centennial School District R-1,"1,815",243,91
CO,Center School District 26-JT,"3,044",623,154
CO,Cheraw School District 31,764,145,31
CO,Cherry Creek School District 5,"325,728","57,641","4,300"
CO,Cheyenne County School District RE-5,"1,248",220,34
CO,Cheyenne Mountain School District 12,"23,083","3,797",197
CO,Clear Creek School District RE-1,"9,355",937,92
CO,Colorado Springs School District 11,"245,056","33,012","4,698"
CO,Creede School District,931,85,10
CO,Cripple Creek-Victor School District RE-1,"5,089",510,94
CO,Crowley County School District RE-1-J,"5,451",507,142
CO,Custer County School District C-1,"4,960",523,100
CO,De Beque School District 49-JT,998,156,55
CO,Deer Trail School District 26J,"1,497",344,36
CO,Delta County School District 50J,"32,008","4,642",863
CO,Denver County School District 1,"713,252","89,926","14,320"
CO,Dolores County School District RE-2,"2,592",353,55
CO,Dolores School District RE-4A,"3,973",598,99
CO,Douglas County School District RE-1,"378,838","67,460","1,451"
CO,Durango School District 9-R,"41,848","5,240",583
CO,Eagle County School District RE 50,"46,957","7,280",468
CO,East Grand School District 2,"12,606","1,378",101
CO,East Otero School District R-1,"8,669","1,538",520
CO,Edison School District 54-JT,425,99,18
CO,Elbert School District 200,"1,733",263,27
CO,Elizabeth School District,"17,408","2,815",116
CO,Ellicott School District 22,"5,731","1,234",137
CO,Englewood School District 1,"27,388","2,617",338
CO,Estes Park School District R-3,"11,995","1,241",106
CO,Fort Morgan School District RE-3,"17,241","3,361",441
CO,Fountain School District 8,"38,082","7,843",872
CO,Fowler School District R-4J,"2,139",349,77
CO,Fremont RE-1,"29,919","3,937",770
CO,Fremont RE-2,"16,761","1,654",286
CO,Fremont RE-3,"3,458",356,87
CO,Frenchman School District RE-3,930,160,40
CO,Garfield County School District 16,"7,237","1,405",213
CO,Garfield School District RE-2,"27,791","5,499",523
CO,Genoa-Hugo School District C-113,"1,337",237,38
CO,Gilpin County School District RE-1,"3,104",300,18
CO,Granada School District RE-1,770,166,44
CO,Greeley School District 6,"138,147","23,830","3,642"
CO,Gunnison Watershed School District RE-1J,"17,237","2,045",168
CO,Hanover School District 28,"2,001",354,53
CO,Harrison School District 2,"78,942","12,135","2,361"
CO,Haxtun School District RE-2J,"1,485",292,47
CO,Hayden School District RE-1,"2,940",456,28
CO,Hi-Plains School District R-23,561,103,24
CO,Hinsdale County School District RE-1,741,85,11
CO,Hoehne Reorganized School District 3,"1,565",250,54
CO,Holly School District RE-3,"1,357",273,42
CO,Holyoke School District RE-1J,"3,168",582,68
CO,Huerfano School District RE-1,"5,573",727,201
CO,Idalia School District RJ-3,594,134,23
CO,Ignacio School District 11-JT,"5,463",912,199
CO,Jefferson County School District R-1,"583,678","79,057","5,142"
CO,Johnstown-Milliken School District RE-5J,"24,356","4,679",247
CO,Julesburg School District RE-1,"1,523",226,41
CO,Karval School District RE-23,343,56,13
CO,Kim Reorganized School District 88,258,46,7
CO,Kiowa County School District No. RE-1,"1,153",211,38
CO,Kiowa School District C-2,"3,079",514,58
CO,Kit Carson School District R-1,484,115,29
CO,La Veta School District RE-2,"1,509",147,35
CO,Lake County School District R-1,"7,327","1,070",167
CO,Lamar School District RE-2,"8,884","1,695",420
CO,Las Animas School District RE-1,"4,628",521,153
CO,Lewis-Palmer School District 38,"37,590","7,301",236
CO,Liberty School District J-4,492,71,12
CO,Limon School District RE-4J,"3,374",471,81
CO,Littleton School District 6,"97,969","14,977",667
CO,Lone Star School District 101,246,49,8
CO,Mancos School District RE-6,"3,429",429,68
CO,Manitou Springs School District 14,"8,360",893,74
CO,Manzanola School District 3J,759,122,56
CO,Mapleton School District 1,"34,822","6,153",686
CO,McClave School District RE-2,668,129,35
CO,Meeker School District RE1,"3,865",726,81
CO,Mesa County Valley School District 51,"155,507","23,837","2,639"
CO,Miami-Yoder School District 60-JT,"2,445",422,63
CO,Moffat County School District RE-1,"13,177","2,534",286
CO,Moffat School District 2,"1,948",191,67
CO,Monte Vista School District C-8,"6,283","1,121",246
CO,Montezuma-Cortez School District RE-1,"19,066","3,165",741
CO,Montrose County School District RE-1J,"41,761","6,458",817
CO,Mountain Valley School District RE-1,"1,582",170,44
CO,North Conejos School District RE-1J,"4,178",831,199
